Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"39.278088, -76.623322","09/10/2023 13:00:00",79.4,79.4,79.4,71.2,76.16,,2.5,,0.0,,0.0,,,9.9,88.8,1018.4,"",39.278088,-76.623322,"39.278088, -76.623322","39.278088, -76.623322","","Overcast",
"39.278088, -76.623322","09/24/2023 13:00:00",66.2,66.2,66.2,64.2,93.54,,3.9,,88.0,,0.01,,,6.3,100.0,1011.1,"",39.278088,-76.623322,"39.278088, -76.623322","39.278088, -76.623322","","Rain, Overcast",
"39.278088, -76.623322","10/22/2023 13:00:00",60.3,60.3,60.3,37.4,42.57,,14.9,30.6,312.0,,0.0,,,9.9,88.8,1008.3,"",39.278088,-76.623322,"39.278088, -76.623322","39.278088, -76.623322","","Overcast",
"39.278088, -76.623322","11/05/2023 13:00:00",72.4,72.4,72.4,41.7,33.03,,8.9,20.8,293.0,,0.0,,,9.9,21.3,1015.8,"",39.278088,-76.623322,"39.278088, -76.623322","39.278088, -76.623322","","Clear",
