Team, Date, Match, OPPONENT, OPPONENT_1, PassYdLine, PASS_YD, RecYdLine, REC_YD, RecYdLine_2, REC_YD_3, result, OverUnder, Spread
CJ Stroud Nico Collins Noah Brown, 12/10, x, nyj, nyj, 210.5, 91, 64.5, 13, 38.5, 0, 1, 33, -3.0
Joe Burrow Ja'Marr Chase Tyler Boyd, 09/10, x, cle, cle, 268.5, 82, 79.5, 39, 33.5, 10, 1, 46, -1.0
Joe Burrow Ja'Marr Chase Tyler Boyd, 10/01, x, ten, ten, 265.5, 165, 83.5, 73, 36.5, 26, 1, 42, -2.5
Joe Burrow Ja'Marr Chase Tyler Boyd, 10/15, x, sea, sea, 280.5, 185, 86.5, 80, 40.5, 38, 1, 46, -3.0
Joe Burrow Ja'Marr Chase Tyler Boyd, 11/16, x, bal, bal, 256.5, 101, 82.5, 12, 49.5, 22, 1, 46, 4.0
Josh Allen Stefon Diggs Dalton Kincaid, 11/13, x, den, den, 279.5, 177, 86.5, 34, 57.5, 51, 1, 48, -7.5
Josh Allen Stefon Diggs Dalton Kincaid, 12/10, x, kan, kan, 262.5, 233, 69.5, 24, 39.5, 21, 1, 49, 2.0
Josh Allen Stefon Diggs Dalton Kincaid, 12/17, x, dal, dal, 260.5, 94, 68.5, 48, 40.5, 0, 1, 49, -2.0
Josh Allen Stefon Diggs Dalton Kincaid, 12/23, x, lac, lac, 246.5, 237, 68.5, 29, 29.5, 7, 1, 44, -12.5
Jake Browning Ja'Marr Chase Tyler Boyd, 12/31, x, kan, kan, 238.5, 197, 59.5, 41, 35.5, 29, 1, 46, 7.0
Jake Browning Ja'Marr Chase Tyler Boyd, 01/07, x, cle, cle, 228.5, 156, 62.5, 19, 35.5, 4, 1, 37, -7.0
Trevor Lawrence Calvin Ridley Evan Engram, 10/15, x, ind, ind, 257.5, 181, 61.5, 30, 42.5, 41, 1, 44, -4.0
Trevor Lawrence Calvin Ridley Evan Engram, 11/12, x, sfo, sfo, 242.5, 185, 51.5, 20, 46.5, 12, 1, 44, 3.0
Matthew Stafford Puka Nacua Tyler Higbee, 10/15, x, ari, ari, 277.5, 226, 69.5, 26, 33.5, 18, 1, 48, -7.0
Matthew Stafford Puka Nacua Tyler Higbee, 11/19, x, sea, sea, 258.5, 190, 70.5, 70, 27.5, 17, 1, 46, -2.5
Kirk Cousins Jordan Addison TJ HockensonKirk Cousins Jordan Addison TJ Hockenson, 10/01, x, car, car, 277.5, 139, 39.5, 0, 49.5, 24, 1, 46, -4.5
Kirk Cousins Jordan Addison TJ Hockenson, 10/15, x, chi, chi, 260.5, 181, 54.5, 28, 57.5, 50, 1, 44, -3.0
Brock Purdy Brandon Aiyuk George Kittle, 09/17, x, lar, lar, 233.5, 206, 60.5, 43, 38.5, 30, 1, 45, -7.0
Brock Purdy Brandon Aiyuk George Kittle, 11/23, x, sea, sea, 251.5, 209, 65.5, 50, 55.5, 19, 1, 43, -7.0
Justin Herbert Keenan Allen Quentin Johnston, 10/01, x, lvr, lvr, 281.5, 167, 85.5, 32, 29.5, 18, 1, 49, -6.5
Justin Herbert Keenan Allen Quentin Johnston, 10/16, x, dal, dal, 277.5, 227, 85.5, 85, 32.5, 0, 1, 50, 1.5
Justin Herbert Keenan Allen Quentin Johnston, 10/22, x, kan, kan, 273.5, 259, 77.5, 55, 21.5, 20, 1, 48, 5.5
