team, Date, OPPONENT, PassYdLine, PASS_YD, RecYdLine, REC_YD, RecYdLine, REC_YD, result, OverUnder, Spread, ReceptionsPG, PlaysPG, TargetsPG, ExpectedPointsPG, PointsPG, NetYdsPerPassAtt, RushYdsPG, RushYdsPerAtt, RushFirstDownsPG, RecTDPG, YardsPerPlay, TurnoversPG, FumblesPG, FirstDownsPG, PassCompsPG, PassAttPG, PassTDPG, PassIntPG, PassFirstDownsPG, PenaltiesPG, PenaltyFirstDownsPG, ScoresPerOffDrivePG, YardsPG, FeelsLike, WindSpeed, passYPG, recYPG1, recYPG2, medianPassYPG, medianRecYPG1, medianRecYPG2
Mitchell Trubisky Diontae Johnson George Pickens, 10/02, nyj, 212.5, 84, 65.5, 11, 27.5, 102, 0, 41, -3.0, 9.88, 64.30, 16.60, 1.53, 18.60, 5.40, 121.60, 4.20, 6.88, 0.59, 4.80, 0.94, 0.24, 18.20, 20.40, 32.70, 0.88, 0.71, 9.76, 5.29, 1.59, 32.30, 311.10, 56.30, 6.80, 7.20, 72.60, 0.00, 194.00, 57.00, 23.00
Mitchell Trubisky Diontae Johnson George Pickens, 12/18, car, 196.5, 179, 43.5, 98, 40.5, 53, 0, 37, 2.5, 14.40, 64.90, 21.20, -3.06, 22.00, 6.30, 122.60, 4.30, 7.35, 0.88, 5.40, 1.00, 0.41, 20.40, 22.50, 34.10, 1.47, 0.59, 11.40, 6.18, 1.59, 34.20, 350.20, 40.60, 11.50, 7.20, 72.60, 0.00, 194.00, 57.00, 39.00
Tom Brady Mike Evans Chris Godwin, 09/11, dal, 274.5, 212, 66.5, 71, 38.5, 35, 0, 50, -2.5, 12.00, 64.80, 19.10, 1.87, 20.10, 5.70, 129.30, 4.40, 7.00, 1.29, 5.10, 1.94, 1.00, 19.20, 20.30, 32.40, 1.35, 0.94, 10.20, 5.76, 2.00, 33.50, 330.20, 70.00, 0.00, 312.70, 64.70, 78.80, 312.70, 64.70, 78.80
Tom Brady Mike Evans Chris Godwin, 10/02, kan, 263.5, 385, 68.5, 103, 39.5, 59, 2, 47, -2.0, 13.10, 64.30, 20.20, -3.86, 21.70, 5.60, 107.20, 4.40, 6.00, 1.18, 5.10, 1.18, 0.53, 19.80, 24.00, 36.40, 1.94, 0.65, 12.20, 5.76, 1.65, 35.90, 328.20, 72.90, 5.60, 312.70, 64.70, 78.80, 212.00, 71.00, 35.00
Tom Brady Mike Evans Chris Godwin, 10/09, atl, 286.5, 351, 62.5, 81, 62.5, 61, 0, 46, -10.0, 12.50, 63.60, 19.30, -7.26, 22.70, 6.80, 130.20, 4.40, 8.00, 0.94, 5.70, 1.00, 0.41, 20.60, 21.90, 33.00, 1.53, 0.59, 11.80, 5.88, 0.88, 43.50, 362.10, 86.30, 8.10, 312.70, 64.70, 78.80, 385.00, 103.00, 59.00
Tom Brady Mike Evans Chris Godwin, 10/16, pit, 288.5, 243, 68.5, 42, 60.5, 95, 0, 46, -9.5, 10.70, 60.20, 18.50, -2.77, 20.40, 6.50, 108.10, 4.20, 5.59, 1.00, 5.50, 1.35, 0.18, 18.50, 19.50, 31.90, 1.71, 1.18, 11.50, 5.65, 1.35, 37.30, 330.40, 60.30, 8.70, 312.70, 64.70, 78.80, 351.00, 81.00, 59.00
Tom Brady Mike Evans Chris Godwin, 10/23, car, 265.5, 290, 64.5, 96, 64.5, 43, 0, 38, -13.0, 14.40, 64.90, 21.20, -3.06, 22.00, 6.30, 122.60, 4.30, 7.35, 0.88, 5.40, 1.00, 0.41, 20.40, 22.50, 34.10, 1.47, 0.59, 11.40, 6.18, 1.59, 34.20, 350.20, 70.90, 7.60, 312.70, 64.70, 78.80, 351.00, 81.00, 61.00
Tom Brady Mike Evans Chris Godwin, 10/27, bal, 285.5, 325, 66.5, 123, 73.5, 75, 2, 46, -2.0, 13.50, 61.60, 20.80, -1.90, 18.50, 6.20, 92.10, 3.90, 5.35, 0.71, 5.30, 1.47, 0.65, 19.00, 23.20, 34.90, 1.18, 0.82, 12.10, 4.65, 1.53, 35.80, 324.30, 76.70, 3.20, 312.70, 64.70, 78.80, 290.00, 81.00, 59.00
Tom Brady Mike Evans Chris Godwin, 11/06, lar, 271.5, 280, 63.5, 40, 65.5, 36, 0, 43, -3.0, 13.60, 61.70, 19.50, -4.45, 22.60, 6.50, 115.10, 4.30, 6.24, 0.76, 5.50, 1.29, 0.35, 19.50, 22.10, 32.70, 1.35, 0.94, 11.90, 4.82, 1.29, 41.00, 341.10, 92.90, 8.10, 312.70, 64.70, 78.80, 325.00, 96.00, 61.00
Tom Brady Mike Evans Chris Godwin, 11/13, sea, 286.5, 258, 62.5, 54, 63.5, 71, 0, 45, -2.5, 10.10, 65.70, 17.00, -6.66, 23.60, 6.10, 150.20, 4.90, 7.65, 0.65, 5.50, 1.47, 0.65, 20.40, 20.20, 32.20, 1.35, 0.82, 11.10, 5.76, 1.71, 37.20, 361.70, 50.20, 4.90, 312.70, 64.70, 78.80, 290.00, 81.00, 59.00
