team, Date, OPPONENT, PassYdLine, PASS_YD, RecYdLine, REC_YD, RecYdLine, REC_YD, result, OverUnder, Spread, ReceptionsPG, PlaysPG, TargetsPG, ExpectedPointsPG, PointsPG, NetYdsPerPassAtt, RushYdsPG, RushYdsPerAtt, RushFirstDownsPG, RecTDPG, YardsPerPlay, TurnoversPG, FumblesPG, FirstDownsPG, PassCompsPG, PassAttPG, PassTDPG, PassIntPG, PassFirstDownsPG, PenaltiesPG, PenaltyFirstDownsPG, ScoresPerOffDrivePG, YardsPG, FeelsLike, WindSpeed, passYPG, recYPG1, recYPG2, medianPassYPG, medianRecYPG1, medianRecYPG2
Joe Burrow Ja'Marr Chase Tee Higgins, 09/11, pit, 259.5, 338, 70.5, 129, 69.5, 27, 0, 44, -7.0, 10.70, 60.20, 18.50, -2.77, 20.40, 6.50, 108.10, 4.20, 5.59, 1.00, 5.50, 1.35, 0.18, 18.50, 19.50, 31.90, 1.71, 1.18, 11.50, 5.65, 1.35, 37.30, 330.40, 73.80, 5.10, 288.20, 85.60, 77.90, 288.20, 85.60, 77.90
Joe Burrow Ja'Marr Chase Tee Higgins, 09/18, dal, 264.5, 199, 76.5, 54, 58.5, 71, 0, 42, -7.0, 12.00, 64.80, 19.10, 1.87, 20.10, 5.70, 129.30, 4.40, 7.00, 1.29, 5.10, 1.94, 1.00, 19.20, 20.30, 32.40, 1.35, 0.94, 10.20, 5.76, 2.00, 33.50, 330.20, 70.00, 0.00, 288.20, 85.60, 77.90, 338.00, 129.00, 27.00
Joe Burrow Ja'Marr Chase Tee Higgins, 09/25, nyj, 264.5, 275, 76.5, 29, 65.5, 93, 0, 46, -6.5, 9.88, 64.30, 16.60, 1.53, 18.60, 5.40, 121.60, 4.20, 6.88, 0.59, 4.80, 0.94, 0.24, 18.20, 20.40, 32.70, 0.88, 0.71, 9.76, 5.29, 1.59, 32.30, 311.10, 59.10, 8.10, 288.20, 85.60, 77.90, 338.00, 129.00, 71.00
Joe Burrow Ja'Marr Chase Tee Higgins, 09/29, mia, 272.5, 287, 71.5, 81, 64.5, 124, 2, 49, -4.0, 13.20, 63.90, 21.10, -3.91, 23.50, 6.00, 103.00, 4.10, 5.76, 0.65, 5.30, 0.82, 0.35, 19.80, 24.50, 36.70, 1.59, 0.47, 11.80, 4.94, 2.24, 37.50, 337.80, 53.60, 2.20, 288.20, 85.60, 77.90, 275.00, 54.00, 71.00
Joe Burrow Ja'Marr Chase Tee Higgins, 10/09, bal, 272.5, 217, 69.5, 50, 67.5, 0, 1, 48, 3.0, 13.50, 61.60, 20.80, -1.90, 18.50, 6.20, 92.10, 3.90, 5.35, 0.71, 5.30, 1.47, 0.65, 19.00, 23.20, 34.90, 1.18, 0.82, 12.10, 4.65, 1.53, 35.80, 324.30, 50.10, 0.00, 288.20, 85.60, 77.90, 287.00, 81.00, 93.00
Joe Burrow Ja'Marr Chase Tee Higgins, 10/16, nor, 250.5, 300, 83.5, 132, 46.5, 47, 2, 43, -3.0, 11.40, 63.30, 18.10, -1.80, 20.30, 5.40, 130.50, 4.50, 7.18, 0.71, 5.00, 0.82, 0.41, 18.80, 18.90, 31.50, 1.00, 0.41, 9.35, 5.41, 2.24, 34.80, 314.80, 70.00, 0.00, 288.20, 85.60, 77.90, 275.00, 54.00, 71.00
Joe Burrow Ja'Marr Chase Tee Higgins, 10/23, atl, 285.5, 481, 83.5, 130, 73.5, 93, 2, 48, -6.5, 12.50, 63.60, 19.30, -7.26, 22.70, 6.80, 130.20, 4.40, 8.00, 0.94, 5.70, 1.00, 0.41, 20.60, 21.90, 33.00, 1.53, 0.59, 11.80, 5.88, 0.88, 43.50, 362.10, 74.60, 8.80, 288.20, 85.60, 77.90, 287.00, 81.00, 71.00
Joe Burrow Ja'Marr Chase Tee Higgins, 12/04, kan, 301.5, 286, 76.5, 97, 69.5, 35, 0, 52, 2.5, 13.10, 64.30, 20.20, -3.86, 21.70, 5.60, 107.20, 4.40, 6.00, 1.18, 5.10, 1.18, 0.53, 19.80, 24.00, 36.40, 1.94, 0.65, 12.20, 5.76, 1.65, 35.90, 328.20, 39.20, 4.30, 288.20, 85.60, 77.90, 287.00, 81.00, 71.00
Joe Burrow Ja'Marr Chase Tee Higgins, 12/11, cle, 273.5, 239, 84.5, 119, 68.5, 0, 0, 47, -4.0, 9.94, 61.20, 16.70, -3.41, 22.40, 6.00, 135.00, 4.70, 7.59, 0.88, 5.40, 1.18, 0.53, 19.40, 18.50, 30.50, 1.18, 0.65, 9.76, 5.18, 2.00, 38.50, 331.20, 39.80, 4.50, 288.20, 85.60, 77.90, 287.00, 97.00, 71.00
Joe Burrow Ja'Marr Chase Tee Higgins, 12/18, tam, 277.5, 200, 85.5, 60, 60.5, 33, 1, 48, -3.5, 12.60, 63.10, 20.20, -2.15, 21.10, 5.60, 120.70, 4.50, 6.06, 0.94, 5.10, 1.18, 0.59, 18.50, 21.40, 33.50, 1.71, 0.59, 10.90, 5.71, 1.47, 33.00, 324.30, 67.90, 10.10, 288.20, 85.60, 77.90, 286.00, 97.00, 47.00
Joe Burrow Ja'Marr Chase Tee Higgins, 12/24, nwe, 256.5, 375, 73.5, 79, 60.5, 128, 2, 42, -3.0, 12.20, 64.20, 19.80, 3.26, 20.40, 5.70, 105.50, 4.10, 5.29, 0.88, 5.00, 1.76, 0.65, 18.50, 21.40, 35.10, 1.65, 1.12, 11.40, 5.24, 1.76, 30.50, 322.00, 4.30, 11.90, 288.20, 85.60, 77.90, 286.00, 97.00, 47.00
Joe Burrow Ja'Marr Chase Tee Higgins, 01/08, bal, 262.5, 215, 77.5, 86, 63.5, 7, 0, 39, -11.5, 13.50, 61.60, 20.80, -1.90, 18.50, 6.20, 92.10, 3.90, 5.35, 0.71, 5.30, 1.47, 0.65, 19.00, 23.20, 34.90, 1.18, 0.82, 12.10, 4.65, 1.53, 35.80, 324.30, 32.60, 6.80, 288.20, 85.60, 77.90, 286.00, 81.00, 47.00
Geno Smith Tyler Lockett DK Metcalf, 09/12, den, 207.5, 195, 49.5, 28, 56.5, 36, 1, 44, 6.0, 11.70, 63.50, 18.80, 0.43, 21.10, 5.60, 109.80, 4.30, 6.41, 0.53, 5.00, 1.35, 0.47, 19.10, 23.10, 35.60, 1.18, 0.88, 10.60, 6.24, 2.06, 35.90, 320.00, 72.20, 6.70, 175.50, 73.40, 56.90, 175.50, 73.40, 56.90
Geno Smith Tyler Lockett DK Metcalf, 09/18, sfo, 197.5, 197, 47.5, 107, 55.5, 35, 0, 40, 8.5, 13.00, 60.40, 19.70, 3.31, 16.30, 5.90, 77.70, 3.40, 4.53, 0.94, 5.00, 1.76, 0.59, 17.10, 22.90, 34.90, 1.18, 1.18, 11.10, 5.65, 1.53, 25.70, 300.60, 69.10, 16.70, 175.50, 73.40, 56.90, 195.00, 28.00, 36.00
Geno Smith Tyler Lockett DK Metcalf, 09/25, atl, 215.5, 325, 57.5, 76, 54.5, 64, 2, 44, -1.0, 12.50, 63.60, 19.30, -7.26, 22.70, 6.80, 130.20, 4.40, 8.00, 0.94, 5.70, 1.00, 0.41, 20.60, 21.90, 33.00, 1.53, 0.59, 11.80, 5.88, 0.88, 43.50, 362.10, 73.70, 8.40, 175.50, 73.40, 56.90, 197.00, 107.00, 36.00
Geno Smith Tyler Lockett DK Metcalf, 10/02, det, 245.5, 320, 65.5, 91, 62.5, 149, 2, 48, 3.5, 13.40, 63.30, 20.90, -9.39, 25.10, 7.00, 146.50, 5.20, 7.94, 0.88, 6.20, 1.29, 0.59, 22.20, 20.80, 32.90, 1.53, 0.71, 12.30, 6.06, 1.94, 41.20, 392.40, 70.00, 0.00, 175.50, 73.40, 56.90, 197.00, 76.00, 36.00
Geno Smith Tyler Lockett DK Metcalf, 10/09, nor, 241.5, 268, 65.5, 104, 62.5, 88, 2, 45, 5.5, 11.40, 63.30, 18.10, -1.80, 20.30, 5.40, 130.50, 4.50, 7.18, 0.71, 5.00, 0.82, 0.41, 18.80, 18.90, 31.50, 1.00, 0.41, 9.35, 5.41, 2.24, 34.80, 314.80, 70.00, 0.00, 175.50, 73.40, 56.90, 320.00, 91.00, 64.00
Geno Smith Tyler Lockett DK Metcalf, 10/16, ari, 266.5, 197, 69.5, 17, 69.5, 34, 1, 50, 2.5, 12.40, 63.20, 19.20, -4.81, 26.40, 6.20, 118.60, 4.50, 7.29, 0.65, 5.50, 1.18, 0.53, 21.40, 24.40, 34.90, 1.71, 0.65, 12.80, 5.53, 1.24, 41.60, 348.90, 79.80, 5.60, 175.50, 73.40, 56.90, 268.00, 91.00, 64.00
Geno Smith Tyler Lockett DK Metcalf, 10/23, lac, 261.5, 210, 65.5, 45, 66.5, 12, 1, 51, 5.0, 10.70, 58.90, 17.40, -4.97, 22.60, 6.20, 145.80, 5.40, 7.00, 0.82, 5.90, 1.41, 0.59, 18.70, 18.20, 29.70, 1.41, 0.82, 10.30, 4.71, 1.41, 37.20, 346.10, 70.00, 0.00, 175.50, 73.40, 56.90, 268.00, 91.00, 64.00
Geno Smith Tyler Lockett DK Metcalf, 11/06, ari, 245.5, 275, 65.5, 67, 64.5, 37, 0, 49, 2.0, 12.40, 63.20, 19.20, -4.81, 26.40, 6.20, 118.60, 4.50, 7.29, 0.65, 5.50, 1.18, 0.53, 21.40, 24.40, 34.90, 1.71, 0.65, 12.80, 5.53, 1.24, 41.60, 348.90, 70.00, 0.00, 175.50, 73.40, 56.90, 210.00, 76.00, 36.00
Geno Smith Tyler Lockett DK Metcalf, 11/13, tam, 239.5, 275, 59.5, 42, 57.5, 71, 0, 45, 2.5, 12.60, 63.10, 20.20, -2.15, 21.10, 5.60, 120.70, 4.50, 6.06, 0.94, 5.10, 1.18, 0.59, 18.50, 21.40, 33.50, 1.71, 0.59, 10.90, 5.71, 1.47, 33.00, 324.30, 50.20, 4.90, 175.50, 73.40, 56.90, 268.00, 76.00, 37.00
Geno Smith Tyler Lockett DK Metcalf, 11/27, lvr, 259.5, 328, 65.5, 68, 65.5, 90, 2, 48, -4.0, 12.20, 63.40, 18.50, -7.77, 24.60, 6.70, 122.80, 4.50, 7.41, 0.76, 5.80, 0.76, 0.41, 21.20, 23.50, 34.70, 1.47, 0.35, 12.10, 5.47, 1.65, 40.80, 365.60, 40.40, 8.40, 175.50, 73.40, 56.90, 268.00, 67.00, 37.00
Geno Smith Tyler Lockett DK Metcalf, 12/04, lar, 251.5, 367, 63.5, 128, 66.5, 127, 2, 41, -6.5, 13.60, 61.70, 19.50, -4.45, 22.60, 6.50, 115.10, 4.30, 6.24, 0.76, 5.50, 1.29, 0.35, 19.50, 22.10, 32.70, 1.35, 0.94, 11.90, 4.82, 1.29, 41.00, 341.10, 70.00, 0.00, 175.50, 73.40, 56.90, 275.00, 68.00, 64.00
Geno Smith Tyler Lockett DK Metcalf, 12/11, car, 265.5, 264, 63.5, 60, 64.5, 71, 0, 44, -3.5, 14.40, 64.90, 21.20, -3.06, 22.00, 6.30, 122.60, 4.30, 7.35, 0.88, 5.40, 1.00, 0.41, 20.40, 22.50, 34.10, 1.47, 0.59, 11.40, 6.18, 1.59, 34.20, 350.20, 42.60, 4.40, 175.50, 73.40, 56.90, 275.00, 68.00, 64.00
Geno Smith Tyler Lockett DK Metcalf, 12/15, sfo, 238.5, 238, 63.5, 68, 65.5, 55, 0, 43, 3.0, 13.00, 60.40, 19.70, 3.31, 16.30, 5.90, 77.70, 3.40, 4.53, 0.94, 5.00, 1.76, 0.59, 17.10, 22.90, 34.90, 1.18, 1.18, 11.10, 5.65, 1.53, 25.70, 300.60, 37.30, 3.70, 175.50, 73.40, 56.90, 275.00, 68.00, 71.00
Geno Smith Tyler Lockett DK Metcalf, 01/01, nyj, 234.5, 183, 60.5, 15, 64.5, 3, 1, 43, 1.5, 9.88, 64.30, 16.60, 1.53, 18.60, 5.40, 121.60, 4.20, 6.88, 0.59, 4.80, 0.94, 0.24, 18.20, 20.40, 32.70, 0.88, 0.71, 9.76, 5.29, 1.59, 32.30, 311.10, 47.10, 0.00, 175.50, 73.40, 56.90, 268.00, 68.00, 64.00
Geno Smith Tyler Lockett DK Metcalf, 01/08, lar, 241.5, 213, 52.5, 54, 69.5, 40, 0, 42, -5.0, 13.60, 61.70, 19.50, -4.45, 22.60, 6.50, 115.10, 4.30, 6.24, 0.76, 5.50, 1.29, 0.35, 19.50, 22.10, 32.70, 1.35, 0.94, 11.90, 4.82, 1.29, 41.00, 341.10, 43.20, 4.90, 175.50, 73.40, 56.90, 268.00, 68.00, 64.00
Justin Fields Cole Kmet Darnell Mooney, 09/11, sfo, 183.5, 121, 15.5, 0, 47.5, 8, 1, 38, 6.5, 13.00, 60.40, 19.70, 3.31, 16.30, 5.90, 77.70, 3.40, 4.53, 0.94, 5.00, 1.76, 0.59, 17.10, 22.90, 34.90, 1.18, 1.18, 11.10, 5.65, 1.53, 25.70, 300.60, 68.30, 9.10, 155.80, 36.00, 62.10, 155.80, 36.00, 62.10
Justin Fields Cole Kmet Darnell Mooney, 09/18, gnb, 194.5, 70, 27.5, 0, 47.5, -4, 1, 42, 10.0, 11.00, 58.30, 16.60, -3.76, 21.80, 6.50, 139.50, 5.00, 7.59, 0.76, 5.80, 1.41, 0.41, 18.90, 18.50, 28.10, 1.29, 1.00, 9.59, 5.88, 1.71, 38.20, 336.50, 73.00, 5.80, 155.80, 36.00, 62.10, 121.00, 0.00, 8.00
Justin Fields Cole Kmet Darnell Mooney, 09/25, hou, 169.5, 106, 26.5, 40, 43.5, 23, 0, 40, -3.0, 10.30, 66.70, 16.00, -4.73, 24.70, 6.30, 170.20, 5.10, 8.82, 0.35, 5.70, 1.59, 0.65, 21.90, 19.80, 30.70, 0.88, 0.94, 11.50, 5.59, 1.53, 35.20, 379.50, 65.20, 9.50, 155.80, 36.00, 62.10, 121.00, 0.00, 8.00
Justin Fields Cole Kmet Darnell Mooney, 10/02, nyg, 145.5, 174, 22.5, 16, 35.5, 94, 0, 40, 3.0, 12.60, 63.40, 21.20, -7.37, 21.80, 6.00, 144.20, 5.20, 7.88, 0.76, 5.60, 1.12, 0.76, 21.80, 20.50, 33.40, 1.24, 0.35, 11.80, 6.53, 2.12, 39.80, 358.20, 57.50, 10.40, 155.80, 36.00, 62.10, 106.00, 0.00, 8.00
Justin Fields Cole Kmet Darnell Mooney, 10/09, min, 164.5, 208, 26.5, 45, 51.5, 52, 2, 44, 8.5, 14.70, 65.80, 22.20, -6.12, 25.10, 6.90, 123.10, 4.50, 6.65, 0.76, 5.90, 1.47, 0.59, 21.10, 24.00, 36.30, 1.35, 0.88, 13.20, 6.53, 1.29, 41.10, 388.70, 70.00, 0.00, 155.80, 36.00, 62.10, 121.00, 16.00, 23.00
Justin Fields Cole Kmet Darnell Mooney, 10/13, was, 170.5, 190, 29.5, 15, 46.5, 68, 0, 38, 1.0, 11.00, 58.70, 18.00, 0.43, 20.20, 5.80, 113.30, 4.40, 6.00, 0.88, 5.20, 1.06, 0.53, 16.80, 18.10, 30.20, 1.53, 0.53, 9.12, 5.00, 1.71, 31.50, 304.60, 40.60, 8.60, 155.80, 36.00, 62.10, 121.00, 16.00, 23.00
Justin Fields Cole Kmet Darnell Mooney, 10/24, nwe, 161.5, 179, 21.5, 32, 45.5, 53, 2, 40, 8.5, 12.20, 64.20, 19.80, 3.26, 20.40, 5.70, 105.50, 4.10, 5.29, 0.88, 5.00, 1.76, 0.65, 18.50, 21.40, 35.10, 1.65, 1.12, 11.40, 5.24, 1.76, 30.50, 322.00, 58.60, 0.90, 155.80, 36.00, 62.10, 174.00, 16.00, 52.00
Justin Fields Cole Kmet Darnell Mooney, 10/30, dal, 159.5, 151, 24.5, 11, 43.5, 70, 0, 42, 10.0, 12.00, 64.80, 19.10, 1.87, 20.10, 5.70, 129.30, 4.40, 7.00, 1.29, 5.10, 1.94, 1.00, 19.20, 20.30, 32.40, 1.35, 0.94, 10.20, 5.76, 2.00, 33.50, 330.20, 70.00, 0.00, 155.80, 36.00, 62.10, 174.00, 16.00, 52.00
Justin Fields Cole Kmet Darnell Mooney, 11/06, mia, 165.5, 123, 20.5, 41, 45.5, 43, 0, 46, 4.0, 13.20, 63.90, 21.10, -3.91, 23.50, 6.00, 103.00, 4.10, 5.76, 0.65, 5.30, 0.82, 0.35, 19.80, 24.50, 36.70, 1.59, 0.47, 11.80, 4.94, 2.24, 37.50, 337.80, 57.30, 17.90, 155.80, 36.00, 62.10, 174.00, 16.00, 53.00
Justin Fields Cole Kmet Darnell Mooney, 11/13, det, 180.5, 167, 24.5, 74, 43.5, 57, 0, 48, -3.0, 13.40, 63.30, 20.90, -9.39, 25.10, 7.00, 146.50, 5.20, 7.94, 0.88, 6.20, 1.29, 0.59, 22.20, 20.80, 32.90, 1.53, 0.71, 12.30, 6.06, 1.94, 41.20, 392.40, 25.90, 11.00, 155.80, 36.00, 62.10, 151.00, 16.00, 52.00
Justin Fields Cole Kmet Darnell Mooney, 11/20, atl, 173.5, 153, 28.5, 35, 45.5, 29, 0, 48, 2.5, 12.50, 63.60, 19.30, -7.26, 22.70, 6.80, 130.20, 4.40, 8.00, 0.94, 5.70, 1.00, 0.41, 20.60, 21.90, 33.00, 1.53, 0.59, 11.80, 5.88, 0.88, 43.50, 362.10, 70.00, 0.00, 155.80, 36.00, 62.10, 167.00, 32.00, 53.00
Deshaun Watson Amari Cooper Donovan Peoples-Jones, 12/04, hou, 237.5, 131, 65.5, 40, 48.5, 44, 1, 46, -7.5, 10.30, 66.70, 16.00, -4.73, 24.70, 6.30, 170.20, 5.10, 8.82, 0.35, 5.70, 1.59, 0.65, 21.90, 19.80, 30.70, 0.88, 0.94, 11.50, 5.59, 1.53, 35.20, 379.50, 70.00, 0.00, 0.00, 57.70, 42.60, 0.00, 57.70, 42.60
Deshaun Watson Amari Cooper Donovan Peoples-Jones, 12/11, cin, 228.5, 276, 57.5, 42, 51.5, 114, 0, 47, 4.0, 10.60, 62.30, 17.90, -1.25, 20.10, 6.20, 106.60, 4.20, 6.38, 0.69, 5.40, 1.50, 0.69, 18.40, 20.60, 34.90, 1.06, 0.81, 10.80, 6.25, 1.25, 36.40, 335.70, 39.80, 4.50, 0.00, 57.70, 42.60, 131.00, 40.00, 44.00
Deshaun Watson Amari Cooper Donovan Peoples-Jones, 12/17, bal, 220.5, 161, 53.5, 58, 47.5, 31, 0, 38, -3.0, 13.50, 61.60, 20.80, -1.90, 18.50, 6.20, 92.10, 3.90, 5.35, 0.71, 5.30, 1.47, 0.65, 19.00, 23.20, 34.90, 1.18, 0.82, 12.10, 4.65, 1.53, 35.80, 324.30, 25.60, 11.40, 0.00, 57.70, 42.60, 276.00, 42.00, 114.00
Deshaun Watson Amari Cooper Donovan Peoples-Jones, 12/24, nor, 144.5, 135, 33.5, 72, 27.5, 2, 0, 32, -3.0, 11.40, 63.30, 18.10, -1.80, 20.30, 5.40, 130.50, 4.50, 7.18, 0.71, 5.00, 0.82, 0.41, 18.80, 18.90, 31.50, 1.00, 0.41, 9.35, 5.41, 2.24, 34.80, 314.80, -17.70, 30.60, 0.00, 57.70, 42.60, 161.00, 42.00, 44.00
Deshaun Watson Amari Cooper Donovan Peoples-Jones, 01/01, was, 215.5, 169, 55.5, 105, 42.5, 13, 0, 41, 1.5, 11.00, 58.70, 18.00, 0.43, 20.20, 5.80, 113.30, 4.40, 6.00, 0.88, 5.20, 1.06, 0.53, 16.80, 18.10, 30.20, 1.53, 0.53, 9.12, 5.00, 1.71, 31.50, 304.60, 58.90, 7.30, 0.00, 57.70, 42.60, 161.00, 58.00, 44.00
Deshaun Watson Amari Cooper Donovan Peoples-Jones, 01/08, pit, 207.5, 230, 68.5, 51, 37.5, 42, 0, 40, 2.5, 10.70, 60.20, 18.50, -2.77, 20.40, 6.50, 108.10, 4.20, 5.59, 1.00, 5.50, 1.35, 0.18, 18.50, 19.50, 31.90, 1.71, 1.18, 11.50, 5.65, 1.35, 37.30, 330.40, 29.90, 5.90, 0.00, 57.70, 42.60, 161.00, 58.00, 31.00
Tua Tagovailoa Tyreek Hill Jaylen Waddle, 09/11, nwe, 230.5, 270, 64.5, 94, 55.5, 69, 2, 46, -3.0, 12.20, 64.20, 19.80, 3.26, 20.40, 5.70, 105.50, 4.10, 5.29, 0.88, 5.00, 1.76, 0.65, 18.50, 21.40, 35.10, 1.65, 1.12, 11.40, 5.24, 1.76, 30.50, 322.00, 100.60, 11.40, 204.10, 72.90, 63.40, 204.10, 72.90, 63.40
Tua Tagovailoa Tyreek Hill Jaylen Waddle, 09/18, bal, 254.5, 469, 67.5, 190, 59.5, 171, 2, 44, 3.5, 13.50, 61.60, 20.80, -1.90, 18.50, 6.20, 92.10, 3.90, 5.35, 0.71, 5.30, 1.47, 0.65, 19.00, 23.20, 34.90, 1.18, 0.82, 12.10, 4.65, 1.53, 35.80, 324.30, 81.70, 6.10, 204.10, 72.90, 63.40, 270.00, 94.00, 69.00
Tua Tagovailoa Tyreek Hill Jaylen Waddle, 09/25, buf, 272.5, 186, 77.5, 33, 64.5, 102, 0, 54, 4.0, 12.60, 62.30, 20.30, 0.28, 17.90, 5.60, 104.60, 4.30, 6.44, 1.13, 5.10, 1.69, 0.63, 19.60, 22.60, 35.60, 1.31, 1.06, 11.30, 5.56, 1.81, 31.00, 319.10, 93.50, 2.50, 204.10, 72.90, 63.40, 469.00, 190.00, 171.00
Tua Tagovailoa Tyreek Hill Jaylen Waddle, 09/29, cin, 254.5, 110, 76.5, 160, 67.5, 39, 0, 49, 4.0, 10.60, 62.30, 17.90, -1.25, 20.10, 6.20, 106.60, 4.20, 6.38, 0.69, 5.40, 1.50, 0.69, 18.40, 20.60, 34.90, 1.06, 0.81, 10.80, 6.25, 1.25, 36.40, 335.70, 53.60, 2.20, 204.10, 72.90, 63.40, 270.00, 94.00, 102.00
Tua Tagovailoa Tyreek Hill Jaylen Waddle, 10/23, pit, 250.5, 261, 80.5, 72, 65.5, 88, 0, 46, -7.0, 10.70, 60.20, 18.50, -2.77, 20.40, 6.50, 108.10, 4.20, 5.59, 1.00, 5.50, 1.35, 0.18, 18.50, 19.50, 31.90, 1.71, 1.18, 11.50, 5.65, 1.35, 37.30, 330.40, 75.80, 9.20, 204.10, 72.90, 63.40, 270.00, 160.00, 102.00
Tua Tagovailoa Tyreek Hill Jaylen Waddle, 10/30, det, 275.5, 382, 91.5, 188, 70.5, 106, 2, 52, -3.5, 13.40, 63.30, 20.90, -9.39, 25.10, 7.00, 146.50, 5.20, 7.94, 0.88, 6.20, 1.29, 0.59, 22.20, 20.80, 32.90, 1.53, 0.71, 12.30, 6.06, 1.94, 41.20, 392.40, 70.00, 0.00, 204.10, 72.90, 63.40, 261.00, 94.00, 88.00
Tua Tagovailoa Tyreek Hill Jaylen Waddle, 11/06, chi, 260.5, 302, 92.5, 143, 70.5, 85, 2, 46, -4.0, 10.80, 61.40, 16.40, -9.95, 27.20, 7.40, 157.30, 4.90, 8.88, 0.76, 6.10, 1.35, 0.53, 21.20, 19.00, 28.30, 1.29, 0.82, 10.80, 4.94, 1.53, 41.80, 375.90, 57.30, 17.90, 204.10, 72.90, 63.40, 270.00, 160.00, 102.00
Tua Tagovailoa Tyreek Hill Jaylen Waddle, 11/13, cle, 283.5, 285, 99.5, 44, 70.5, 66, 0, 50, -3.5, 9.94, 61.20, 16.70, -3.41, 22.40, 6.00, 135.00, 4.70, 7.59, 0.88, 5.40, 1.18, 0.53, 19.40, 18.50, 30.50, 1.18, 0.65, 9.76, 5.18, 2.00, 38.50, 331.20, 85.90, 5.80, 204.10, 72.90, 63.40, 270.00, 143.00, 88.00
Tua Tagovailoa Tyreek Hill Jaylen Waddle, 11/27, hou, 275.5, 299, 92.5, 85, 67.5, 85, 0, 48, -14.0, 10.30, 66.70, 16.00, -4.73, 24.70, 6.30, 170.20, 5.10, 8.82, 0.35, 5.70, 1.59, 0.65, 21.90, 19.80, 30.70, 0.88, 0.94, 11.50, 5.59, 1.53, 35.20, 379.50, 88.60, 11.30, 204.10, 72.90, 63.40, 285.00, 143.00, 88.00
Tua Tagovailoa Tyreek Hill Jaylen Waddle, 12/04, sfo, 269.5, 295, 90.5, 146, 65.5, 9, 0, 46, 5.0, 13.00, 60.40, 19.70, 3.31, 16.30, 5.90, 77.70, 3.40, 4.53, 0.94, 5.00, 1.76, 0.59, 17.10, 22.90, 34.90, 1.18, 1.18, 11.10, 5.65, 1.53, 25.70, 300.60, 57.60, 6.60, 204.10, 72.90, 63.40, 285.00, 94.00, 85.00
Tua Tagovailoa Tyreek Hill Jaylen Waddle, 12/11, lac, 290.5, 145, 95.5, 81, 72.5, 31, 1, 55, -3.0, 10.70, 58.90, 17.40, -4.97, 22.60, 6.20, 145.80, 5.40, 7.00, 0.82, 5.90, 1.41, 0.59, 18.70, 18.20, 29.70, 1.41, 0.82, 10.30, 4.71, 1.41, 37.20, 346.10, 70.00, 0.00, 204.10, 72.90, 63.40, 295.00, 143.00, 85.00
Tua Tagovailoa Tyreek Hill Jaylen Waddle, 12/17, buf, 230.5, 234, 72.5, 69, 52.5, 114, 0, 44, 7.0, 12.60, 62.30, 20.30, 0.28, 17.90, 5.60, 104.60, 4.30, 6.44, 1.13, 5.10, 1.69, 0.63, 19.60, 22.60, 35.60, 1.31, 1.06, 11.30, 5.56, 1.81, 31.00, 319.10, 23.30, 6.10, 204.10, 72.90, 63.40, 285.00, 94.00, 85.00
Tua Tagovailoa Tyreek Hill Jaylen Waddle, 12/25, gnb, 275.5, 310, 92.5, 103, 63.5, 143, 2, 50, -3.5, 11.00, 58.30, 16.60, -3.76, 21.80, 6.50, 139.50, 5.00, 7.59, 0.76, 5.80, 1.41, 0.41, 18.90, 18.50, 28.10, 1.29, 1.00, 9.59, 5.88, 1.71, 38.20, 336.50, 39.20, 13.00, 204.10, 72.90, 63.40, 285.00, 94.00, 85.00
Russell Wilson Courtland Sutton Jerry Jeudy, 09/12, sea, 256.5, 340, 61.5, 72, 58.5, 102, 2, 44, -6.0, 10.10, 65.70, 17.00, -6.66, 23.60, 6.10, 150.20, 4.90, 7.65, 0.65, 5.50, 1.47, 0.65, 20.40, 20.20, 32.20, 1.35, 0.82, 11.10, 5.76, 1.71, 37.20, 361.70, 72.20, 6.70, 222.40, 45.60, 46.70, 222.40, 45.60, 46.70
Russell Wilson Courtland Sutton Jerry Jeudy, 09/18, hou, 246.5, 219, 58.5, 122, 58.5, 11, 0, 46, -10.0, 10.30, 66.70, 16.00, -4.73, 24.70, 6.30, 170.20, 5.10, 8.82, 0.35, 5.70, 1.59, 0.65, 21.90, 19.80, 30.70, 0.88, 0.94, 11.50, 5.59, 1.53, 35.20, 379.50, 80.10, 11.20, 222.40, 45.60, 46.70, 340.00, 72.00, 102.00
Russell Wilson Courtland Sutton Jerry Jeudy, 09/25, sfo, 231.5, 184, 56.5, 97, 54.5, 17, 0, 44, 1.5, 13.00, 60.40, 19.70, 3.31, 16.30, 5.90, 77.70, 3.40, 4.53, 0.94, 5.00, 1.76, 0.59, 17.10, 22.90, 34.90, 1.18, 1.18, 11.10, 5.65, 1.53, 25.70, 300.60, 66.30, 8.30, 222.40, 45.60, 46.70, 340.00, 122.00, 102.00
Russell Wilson Courtland Sutton Jerry Jeudy, 10/02, lvr, 243.5, 237, 67.5, 52, 44.5, 53, 0, 45, 2.5, 12.20, 63.40, 18.50, -7.77, 24.60, 6.70, 122.80, 4.50, 7.41, 0.76, 5.80, 0.76, 0.41, 21.20, 23.50, 34.70, 1.47, 0.35, 12.10, 5.47, 1.65, 40.80, 365.60, 70.00, 0.00, 222.40, 45.60, 46.70, 219.00, 97.00, 17.00
